sent_id	word_char	character_token_n	component_n
w01005020	大流士	3	4
w01005020	十分	2	3
w01005020	赏识	2	6
w01005020	司令官	3	8
w01005020	美伽巴佐斯	5	12
w01005020	负责	2	4
w01005020	实现	2	5
w01005020	征服	2	4
w01005020	巴尔干	3	4
w01005020	目标	2	3
w01005021	阿契美尼德	5	15
w01005021	军队	2	4
w01005021	色雷斯	3	7
w01005021	沿海	2	6
w01005021	培奥尼亚人	5	11
w01005022	最终	2	6
w01005022	约	1	2
w01005022	马其顿	3	5
w01005022	国王	2	4
w01005022	阿闵塔斯	4	13
w01005022	一世	2	2
w01005022	接受	2	6
w01005022	全国	2	5
w01005022	投降	2	5
w01005022	成	1	1
w01005022	阿契美尼德波斯	7	20
w01005022	帝国	2	5
w01005022	附庸国	3	8
w01005023	多	1	2
w01005023	族裔	2	7
w01005023	吸纳	2	4
w01005023	许多	2	5
w01005023	巴尔干人	4	5
w01005023	从军	2	4
w01005024	此外	2	4
w01005024	波斯	2	5
w01005024	精英	2	4
w01005024	通婚	2	6
w01006027	首家	2	4
w01006027	电影	2	6
w01006027	公司	2	5
w01006027	成立	2	3
w01006081	最	1	3
w01006081	成功	2	3
w01006081	是	1	2
w01006081	亚尼斯	3	7
w01006081	斯玛拉迪斯	5	12
w01006081	导演	2	6
w01006081	葛雷柯	3	8
w01007004	法国	2	5
w01007004	摩纳哥	3	8
w01007004	条约	2	4
w01007004	月	1	1
w01007004	签署	2	6
w01007004	据	1	4
w01007004	提供	2	5
w01007004	有限	2	3
w01007004	保护	2	5
w01007035	执行	2	5
w01007035	机构	2	5
w01007035	名	1	2
w01007035	国务	2	5
w01007035	大臣	2	2
w01007035	作	1	2
w01007035	政府	2	5
w01007035	首脑	2	6
w01007035	并	1	1
w01007035	其	1	2
w01007035	主持	2	5
w01007035	人	1	1
w01007035	理事会	3	8
w01007070	警察	2	8
w01007070	队伍	2	4
w01007070	巡逻	2	5
w01007070	监管	2	6
w01007070	船只	2	5
w01007070	特别	2	6
w01007070	单元	2	4
w01007087	当前	2	5
w01007087	土地	2	3
w01007087	开垦	2	3
w01007087	项目	2	3
w01007087	对	1	2
w01007087	芳特维耶区	5	11
w01007087	进行	2	5
w01007087	扩建	2	4
w01007087	这	1	2
w01007087	项	1	2
w01008043	但	1	3
w01008043	北	1	1
w01008043	爱尔兰	3	8
w01008043	英格兰	3	8
w01008043	威尔士	3	5
w01008043	之间	2	3
w01008043	法律	2	4
w01008043	程序	2	5
w01008043	上	1	2
w01008043	存在	2	4
w01008043	差异	2	4
w01009010	白吉龙	3	4
w01009010	分类法	3	6
w01009010	广	1	1
w01009010	气体	2	5
w01009010	质量	2	6
w01009017	年代	2	4
w01009017	天气	2	4
w01009017	预报	2	4
w01009017	中	1	1
w01009017	获得	2	7
w01009017	首次	2	4
w01009017	应用	2	4
w01009017	而	1	1
w01009017	气候学家	4	11
w01009017	开始	2	4
w01009017	想法	2	5
w01009017	建立	2	4
w01009017	起	1	2
w01009017	气象	2	6
w01009017	气候学	3	9
w01009027	季风	2	4
w01009027	季节性	3	6
w01009027	盛行风	3	7
w01009027	可	1	2
w01009027	持续	2	6
w01009027	数	1	3
w01009027	之	1	1
w01009027	久	1	1
w01009027	带来	2	4
w01009027	雨	1	1
w01009027	季节	2	4
w01010044	斯拉夫人	4	7
w01010044	六	1	2
w01010044	立足	2	4
w01010044	日耳曼	3	5
w01010044	部落	2	7
w01010044	主要	2	4
w01010044	斯拉夫	3	6
w01010044	欧洲	2	5
w01010044	民族	2	4
w01010044	大迁徙	3	6
w01010044	期间	2	5
w01010044	途径	2	6
w01010044	摩拉维亚	4	8
w01010045	至	1	2
w01010045	八	1	1
w01010045	末	1	1
w01010045	公国	2	5
w01010045	当今	2	3
w01010045	东南部	3	8
w01010045	斯洛伐克	4	11
w01010045	西南	2	5
w01010045	奥地利	3	7
w01010045	下部	2	5
w01010045	形成	2	3
w01010046	这里	2	3
w01010046	大摩拉维亚国	6	12
w01010046	其中	2	3
w01010046	被	1	2
w01010046	尼特拉	3	7
w01010046	现	1	2
w01010047	第一	2	4
w01010047	莫伊米尔	4	8
w01010047	在位	2	4
w01010048	路易	2	5
w01010048	入侵	2	5
w01010048	让	1	2
w01010048	侄子	2	3
w01010048	取代	2	4
w01010048	王位	2	3
w01010048	后	1	3
w01010048	称	1	3
w01010048	圣	1	2
w01010048	罗斯季斯拉夫	6	13
w01012052	另外	2	4
w01012052	法令	2	5
w01012052	确定	2	4
w01012052	各	1	2
w01012052	及	1	1
w01012052	市区	2	4
w01012052	议会	2	5
w01012052	选举	2	6
w01013083	虽然	2	5
w01013083	直至	2	4
w01013083	较晚	2	5
w01013083	日期	2	4
w01013083	冰岛	2	4
w01013083	仍	1	2
w01013083	处	1	2
w01013083	丹麦	2	3
w01013083	政治	2	5
w01013083	冰岛语	3	7
w01013083	几乎	2	2
w01013083	没有	2	3
w01013083	借用	2	5
w01013083	丹麦语	3	6
w01013083	元素	2	4
w01013083	也	1	1
w01013083	鲜有	2	3
w01013083	受	1	3
w01013083	影响	2	8
w01013096	有	1	1
w01013096	源	1	4
w01013096	芬兰语	3	9
w01013096	独立	2	4
w01013096	演化	2	6
w01013096	语言	2	7
w01013096	瑞典	2	5
w01013096	托尔讷	3	6
w01013096	河谷	2	6
w01013096	挪威	2	5
w01013096	克温斯语	4	12
w01013102	辅音	2	4
w01013102	渐变	2	5
w01013102	北部	2	4
w01013102	萨米人	3	5
w01013102	方言	2	6
w01013102	共同	2	5
w01013102	特征	2	5
w01013102	认为	2	3
w01013102	不同	2	4
w01013102	历史	2	3
w01013102	南部	2	7
w01013102	萨米	2	4
w01013102	不	1	1
w01014002	高加索	3	9
w01014002	山脉	2	3
w01014002	区域	2	6
w01014002	亦	1	4
w01014002	内	1	2
w01014002	外	1	2
w01016028	大气层	3	7
w01016028	混沌	2	5
w01016028	系统	2	5
w01016028	所以	2	4
w01016028	某	1	2
w01016028	微小	2	6
w01016028	变化	2	4
w01016028	会	1	3
w01016028	给	1	4
w01016028	很大	2	3
w01016034	降雨	2	4
w01016034	液滴	2	8
w01016034	从	1	2
w01016034	周围	2	5
w01016034	空气	2	5
w01016034	吸收	2	4
w01016034	分解	2	5
w01016034	二氧化碳	4	10
w01016070	中国	2	4
w01016070	夏季	2	4
w01016070	奥运会	3	9
w01016070	准备	2	4
w01016070	工作	2	3
w01016070	近期	2	5
w01016070	例子	2	4
w01017004	全球	2	4
w01017004	板块	2	5
w01017004	构造力	3	7
w01017004	东	1	1
w01017004	非	1	1
w01017004	大裂谷	3	7
w01017004	乞力马扎罗山	6	9
w01017004	肯尼亚山	4	7
w01017004	它们	2	4
w01017004	非洲	2	3
w01017004	最高	2	7
w01017004	两	1	1
w01017004	山峰	2	4
w01017046	后者	2	5
w01017046	伊斯兰教	4	11
w01017046	传播	2	5
w01017046	到	1	2
w01017046	沿岸	2	6
w01017046	一带	2	4
w01017046	大部分	3	6
w01017046	班图	2	7
w01017046	从未	2	3
w01017046	接触	2	5
w01017046	过	1	2
w01017046	保留	2	6
w01017046	传统	2	5
w01017046	宗教	2	5
w01017046	信徒	2	4
w01017046	身份	2	4
w01018019	把	1	2
w01018019	喀麦隆	3	10
w01018019	经济	2	5
w01018019	融	1	2
w01018019	一体	2	3
w01018019	利用	2	4
w01018019	资金	2	5
w01018019	投资	2	5
w01018019	熟练	2	7
w01018019	工人	2	2
w01018019	提升	2	3
w01018019	基础	2	6
w01018019	设施	2	5
w01018019	调节	2	6
w01018019	劳动力	3	6
w01018029	日	1	1
w01018029	前英属	3	7
w01018029	南	1	4
w01018029	法	1	2
w01018029	统一	2	4
w01018029	组成	2	3
w01018029	联邦	2	5
w01018029	共和国	3	7
w01018101	根据	2	6
w01018101	劳动部	3	8
w01018101	有关	2	3
w01018101	恶劣	2	4
w01018101	童工	2	3
w01018101	形式	2	4
w01018101	研究	2	4
w01018101	报导	2	4
w01018101	十四	2	4
w01018101	岁	1	2
w01018101	儿童	2	3
w01018101	七	1	1
w01018101	近	1	2
w01018101	半	1	1
w01018101	工	1	1
w01018101	学	1	3
w01018101	状态	2	4
w01019014	撒海尔区	4	11
w01019014	气候	2	6
w01019014	撒哈拉	3	10
w01019014	相似	2	4
w01019014	但是	2	5
w01019014	极端	2	5
w01019014	程度	2	6
w01019014	相对	2	4
w01019014	较低	2	5
w01019073	发生	2	2
w01019073	饥荒	2	5
w01020016	地中海	3	6
w01020016	海岸	2	6
w01020016	附近	2	5
w01020016	几	1	1
w01020016	古老	2	4
w01020016	文明	2	4
w01020016	均	1	3
w01020016	位置	2	5
w01020016	近海	2	5
w01020016	受到	2	5
w01020016	极大	2	3
w01020017	那些	2	6
w01020017	时代	2	4
w01020017	社区	2	4
w01020017	贸易	2	5
w01020017	殖民	2	4
w01020017	战争	2	5
w01020017	乃至	2	3
w01020017	捕鱼	2	5
w01020017	海产	2	4
w01020017	采集	2	4
w01020017	食品	2	5
w01020017	通道	2	5
w01020018	由于	2	2
w01020018	地理	2	4
w01020018	情况	2	5
w01020018	中心	2	2
w01020018	拥有	2	3
w01020018	互相	2	4
w01020018	交错	2	5
w01020018	文化	2	4
w01020019	古典	2	4
w01020019	著名	2	5
w01020019	腓尼基	3	7
w01020019	者	1	2
w01020019	大规模	3	7
w01020019	地	1	2
w01020019	海岸线	3	8
w01020019	活动	2	5
w01020020	后来	2	4
w01020020	奥古斯塔斯	5	16
w01020020	罗马	2	3
w01020020	罗马人	3	4
w01020020	我们	2	4
w01020020	海	1	3
w01022033	运河	2	6
w01022033	礁石	2	4
w01022033	起来	2	3
w01022033	水路	2	4
w01022033	克里斯蒂安松	6	15
w01022033	穿过	2	4
w01022033	利勒桑	3	8
w01022033	蜿蜒	2	7
w01022033	行	1	3
w01022055	词	1	2
w01022055	可能	2	6
w01022055	适用	2	4
w01022055	浅礁湖	3	9
w01022092	峡湾	2	5
w01022092	一样	2	3
w01022092	淡水湖	3	8
w01022092	通常	2	6
w01022092	较深	2	7
w01023074	酒精类	3	6
w01023074	饮品	2	5
w01023074	诸如	2	5
w01023074	啤酒	2	4
w01023074	蜂蜜酒	3	8
w01023074	种	1	2
w01023074	烈性	2	5
w01023074	水果酒	3	5
w01023074	富人	2	5
w01023074	还	1	2
w01023074	可以	2	4
w01023074	享用	2	5
w01023074	葡萄酒	3	8
w01023120	无论	2	4
w01023120	规则	2	4
w01023120	什么	2	3
w01023120	这些	2	6
w01023120	搏斗	2	4
w01023120	导致	2	5
w01023120	匹	1	2
w01023120	种马	2	3
w01023120	死亡	2	4
w01025083	严冬	2	6
w01025083	来临	2	4
w01025083	时	1	2
w01025083	丹内维尔克	5	10
w01025083	胡苏姆	3	7
w01025083	施莱湾	3	8
w01025083	湿地	2	5
w01025083	冻土	2	3
w01025083	紧邻	2	5
w01025083	已	1	1
w01025083	前进	2	5
w01025083	德国	2	8
w01025083	攻占	2	4
w01025084	次	1	2
w01025084	撤退	2	6
w01025084	行动	2	6
w01025084	普	1	3
w01025084	奥	1	3
w01025084	联军	2	5
w01025084	感到	2	6
w01025084	意外	2	4
w01025084	因为	2	3
w01025084	所有	2	3
w01025084	都	1	3
w01025084	完成	2	4
w01025084	撤离	2	8
w01025085	不过	2	3
w01025085	重型	2	4
w01025085	火炮	2	4
w01025085	部件	2	5
w01025085	遗弃	2	5
w01025085	关于	2	3
w01025085	何	1	3
w01025085	当时	2	4
w01025085	通往	2	5
w01025085	弗伦斯堡	4	11
w01025085	铁路	2	5
w01025085	未	1	1
w01025085	妥善	2	5
w01025085	疑问	2	6
w01025085	一直	2	3
w01025085	议题	2	4
w01025086	消息	2	5
w01025086	大众	2	4
w01025086	震惊	2	6
w01025086	他们	2	4
w01025086	坚不可摧	4	9
w01025086	梅塞	2	7
w01025086	将军	2	5
w01025086	随即	2	5
w01025086	解除	2	6
w01025086	指挥权	3	8
w01025087	以后	2	5
w01025087	便	1	2
w01025087	归	1	2
w01025087	管辖	2	7
w01026024	多瑙河	3	10
w01026024	运输	2	7
w01026024	货物	2	5
w01026024	数量	2	6
w01026024	上升	2	3
w01026024	一亿	2	3
w01026024	吨	1	2
w01026037	三	1	3
w01026037	角洲	2	4
w01026037	罗马尼亚	4	7
w01026037	图尔恰郡	4	13
w01026037	奇莉娅湾	4	11
w01026037	左岸	2	5
w01026037	乌克兰	3	7
w01026037	敖德萨州	4	11
w01026037	境内	2	6
w01027007	非常	2	4
w01027007	干燥	2	6
w01027007	偶尔	2	4
w01027007	甚至	2	3
w01027007	误	1	3
w01027007	以为	2	3
w01027007	平原	2	4
w01027015	国家	2	5
w01027015	西部	2	4
w01027015	地形	2	4
w01027015	特点	2	6
w01027015	相同	2	5
w01027035	阿尔及利亚	5	10
w01027035	地处	2	4
w01027035	温带	2	6
w01027035	享有	2	4
w01027035	温和	2	5
w01028004	就是	2	6
w01028004	汇入	2	3
w01028004	密西西比河	5	9
w01028004	俄亥俄河	4	8
w01028050	矛盾	2	4
w01028050	核心	2	3
w01028050	问题	2	4
w01028050	堪萨斯州	4	9
w01028050	自由州	3	4
w01028050	还是	2	4
w01028050	奴隶制州	4	7
w01028050	加入	2	3
w01028069	对于	2	3
w01028069	事件	2	5
w01028069	反应	2	4
w01028069	说明	2	6
w01028069	分化	2	4
w01028069	现象	2	5
w01028069	多么	2	3
w01028069	严重	2	5
w01029015	颜色	2	5
w01029015	方面	2	7
w01029015	叶子	2	3
w01029015	展示	2	6
w01029015	多样	2	4
w01029015	绿色	2	5
w01029015	黄绿色	3	8
w01029015	蓝绿色	3	9
w01029015	不一而足	4	5
w01029049	全	1	2
w01029049	美	1	2
w01029049	印第安人	4	8
w01029049	医学	2	5
w01029049	治疗	2	5
w01029049	方法	2	4
w01029083	西北部	3	5
w01029083	基督	2	7
w01029083	教堂	2	6
w01029083	棕枝	2	5
w01029083	主日	2	3
w01029083	庆典	2	4
w01029083	用	1	2
w01029083	柳枝	2	5
w01029083	棕榈叶	3	9
w01030092	阿尔卑斯	4	9
w01030092	低海拔	3	7
w01030092	饮用水	3	5
w01030092	灌溉水	3	9
w01030092	水力	2	2
w01030092	发电	2	2
w01030092	条件	2	4
w01030093	只	1	2
w01030093	占据	2	6
w01030093	地表	2	4
w01030093	干旱	2	3
w01030093	月份	2	4
w01030093	高达	2	6
w01030093	水	1	1
w01030094	米兰	2	4
w01030094	等	1	3
w01030094	供水	2	4
w01030094	阿尔卑斯山	5	10
w01030094	径流	2	5
w01030095	超过	2	5
w01030095	座	1	4
w01030095	水电站	3	5
w01030095	河流	2	5
w01030095	产生	2	2
w01030095	多达	2	4
w01030095	千瓦	2	2
w01030095	电力	2	2
w01030096	瑞士	2	4
w01030096	莱茵河	3	8
w01030096	罗讷河	3	7
w01030096	茵河	2	6
w01030096	提契诺河	4	12
w01030096	宝河	2	5
w01030096	源头	2	5
w01031003	火山	2	2
w01031003	学习	2	4
w01031003	火山学	3	5
w01031003	有时	2	3
w01031003	拼写	2	5
w01031015	岩浆	2	5
w01031015	一般	2	3
w01031015	矽	1	2
w01031015	含量	2	5
w01031015	高	1	4
w01031015	较为	2	4
w01031015	粘稠	2	7
w01031015	无法	2	3
w01031015	到达	2	4
w01031015	而是	2	3
w01031015	深处	2	6
w01031015	冷却	2	4
w01031034	不会	2	4
w01031034	灾难性	3	6
w01031034	爆炸	2	7
w01032139	变暖	2	5
w01032139	已经	2	4
w01032139	造成	2	4
w01032139	雨季	2	3
w01032139	模式	2	6
w01032139	改变	2	4
w01033022	带有	2	4
w01033022	小型	2	4
w01033022	环礁湖	3	9
w01033022	干涸	2	6
w01033025	宣布	2	6
w01033025	野生	2	3
w01033025	动物	2	5
w01033025	保护区	3	7
w01033061	调查	2	7
w01033061	考察	2	5
w01033061	正	1	2
w01033061	继续	2	5
w01033067	定居	2	5
w01033067	东部	2	4
w01033067	美拉尼西亚人	6	10
w01033067	往北	2	3
w01033067	迁移	2	5
w01034023	家庭	2	5
w01034023	肯塔基	3	10
w01034023	印第安纳	4	9
w01034023	生活	2	3
w01034023	托马斯	3	6
w01034023	林肯	2	4
w01034023	曾经	2	7
w01034023	当	1	2
w01034023	农民	2	2
w01034023	家具	2	4
w01034023	木工	2	2
w01034023	木匠	2	3
w01035079	栖息地	3	6
w01035079	破坏	2	4
w01035079	增加	2	7
w01035079	面对	2	7
w01035079	自然	2	5
w01035079	灾害	2	5
w01035079	脆弱性	3	10
w01035079	洪水	2	4
w01035079	作物	2	4
w01035079	失收	2	3
w01035079	疾病	2	4
w01035079	污染	2	6
w01035080	另	1	2
w01035080	健康	2	5
w01035080	生态	2	3
w01035080	能	1	4
w01035080	降低	2	5
w01035080	发生率	3	4
w01035080	或	1	3
w01035080	至少	2	4
w01035080	减轻	2	7
w01035080	不利	2	3
w01035081	农业	2	4
w01035081	用地	2	4
w01035081	实际	2	5
w01035081	周边	2	5
w01035081	地貌	2	5
w01035082	过去	2	4
w01035082	五十	2	2
w01035082	减少	2	6
w01035082	原因	2	5
w01035082	侵蚀	2	6
w01035082	盐渍化	3	8
w01035082	压紧	2	5
w01035082	养分	2	4
w01035082	枯竭	2	6
w01035082	城镇化	3	8
w01035083	人类	2	3
w01035083	直接	2	5
w01035083	使用	2	4
w01036044	巴布亚	3	5
w01036044	新几内亚	4	8
w01036044	经常	2	6
w01036044	标记	2	4
w01036044	性别	2	5
w01036044	暴力	2	5
w01036044	地方	2	4
w01036077	植物	2	5
w01036077	科属	2	4
w01036077	依然	2	5
w01037024	大洲	2	3
w01037024	模型	2	7
w01037024	美洲	2	4
w01037024	视	1	2
w01037024	大陆	2	4
w01037080	克里斯托弗	5	10
w01037080	哥伦布	3	9
w01037080	扬帆	2	4
w01037080	大西洋	3	4
w01037080	来到	2	3
w01037080	西	1	1
w01037080	印度	2	5
w01037080	掀起	2	5
w01037080	欧洲人	3	6
w01037080	探索	2	7
w01037080	热潮期	3	9
w01038009	地点	2	5
w01038009	偏远	2	5
w01038009	交通	2	5
w01038009	不便	2	3
w01038009	不是	2	3
w01038009	欢迎	2	5
w01038016	私营	2	5
w01038016	企业	2	5
w01038016	余下	2	4
w01038016	总共	2	5
w01038016	该州	2	3
w01038016	百分之一	4	6
w01038022	阿拉斯加	4	10
w01038022	仅	1	2
w01038022	白天	2	2
w01038022	平均	2	4
w01038022	温度	2	6
w01038022	冰点	2	5
w01038044	之前	2	4
w01038044	本地	2	4
w01038044	数千	2	4
w01039032	偷	1	4
w01039032	艘	1	3
w01039032	该	1	2
w01039032	澳洲	2	6
w01039032	原住民	3	6
w01039032	留下	2	5
w01039032	独木舟	3	4
w01039058	随	1	3
w01039058	布里斯班	4	9
w01039058	发展	2	4
w01039058	状况	2	5
w01039058	恶化	2	4
w01039058	糟糕	2	6
w01039058	宛如	2	5
w01039058	露天	2	5
w01039058	水道	2	3
w01039058	污水池	3	6
w01039065	时任	2	4
w01039065	大市长	3	4
w01039065	保护年	3	7
w01040100	沙尘暴	3	8
w01040100	植被	2	5
w01040101	边缘	2	4
w01040101	里	1	1
w01040101	那里	2	3
w01040101	更	1	1
w01040101	尘埃	2	5
w01040101	吹走	2	4
w01040102	风	1	2
w01040102	稳定	2	6
w01040102	吹拂	2	4
w01040102	裸露	2	6
w01040102	细微	2	7
w01040102	颗粒	2	4
w01040102	颤动	2	10
w01040103	风速	2	4
w01040103	变快	2	4
w01040103	某些	2	6
w01040103	带入	2	4
w01040103	气流	2	5
w01040104	降落	2	7
w01040104	地面	2	7
w01040104	击中	2	3
w01040104	其他	2	4
w01040104	弹入	2	4
w01040104	空中	2	3
w01040104	连锁	2	5
w01041046	泰国	2	5
w01041046	激增	2	9
w01041046	肥胖	2	4
w01042055	雷暴	2	6
w01042055	少见	2	3
w01042055	每年	2	4
w01042055	报告	2	4
w01042055	天数	2	4
w01042055	天	1	1
w01043027	开罗	2	3
w01043027	人口	2	2
w01043027	达	1	2
w01043027	五十万	3	3
w01043027	使	1	2
w01043027	西边	2	3
w01043027	最大	2	4
w01043065	同时	2	5
w01043065	尼罗	2	4
w01043065	河	1	3
w01043065	额外	2	6
w01043065	促进	2	4
w01043065	杰济拉岛	4	8
w01043065	海滨	2	7
w01044010	内华达州	4	8
w01044010	产业	2	4
w01044010	输出	2	6
w01044010	旅游业	3	10
w01044010	矿业	2	5
w01044010	机械	2	5
w01044010	加工业	3	6
w01044010	印刷	2	5
w01044010	出版	2	5
w01044010	加工	2	3
w01044010	电子	2	2
w01044010	设备	2	4
w01045002	加勒比海	4	8
w01045002	名字	2	4
w01045002	加勒比人	4	6
w01045002	土著	2	4
w01045002	群体	2	5
w01045003	发现	2	3
w01045003	之后	2	4
w01045003	西班牙词	4	7
w01045003	命名	2	5
w01045003	片	1	1
w01045003	各种	2	4
w01045003	共通	2	5
w01045003	代名词	3	6
w01045004	头个	2	2
w01045004	西班牙	3	5
w01045004	争议	2	4
w01045005	到访	2	4
w01045005	南海	2	7
w01045005	即	1	2
w01045005	巴拿马	3	6
w01045005	地峡	2	4
w01045005	南边	2	6
w01045005	北海	2	4
w01045005	指	1	3
w01045005	北边	2	3
w01045006	直到	2	4
w01045006	才	1	1
w01045006	欧	1	3
w01045006	亚	1	2
w01045006	所	1	2
w01045006	知	1	2
w01045006	寻找	2	4
w01045006	海路	2	6
w01045006	前往	2	5
w01045006	亚洲	2	4
w01045006	驶入	2	3
w01045006	加勒比	3	5
w01045006	海域	2	7
w01046011	不幸	2	4
w01046011	快速	2	4
w01046011	增长	2	6
w01046011	扩展	2	5
w01046011	蚕食	2	4
w01046056	开普敦	3	8
w01046056	当地	2	4
w01046056	开普敦市	4	10
w01046056	大都会	3	7
w01047008	篇	1	2
w01047008	短文	2	4
w01047008	水下	2	3
w01047008	生动	2	4
w01047008	讲述	2	4
w01047008	海床	2	5
w01047008	旅程	2	6
w01047071	她	1	2
w01047071	科学	2	5
w01047071	家	1	2
w01047071	私人	2	3
w01047071	机密	2	5
w01047071	信息	2	4
w01047094	布鲁克斯	4	10
w01047094	卡森	2	5
w01047094	几近	2	3
w01047094	编辑	2	5
w01047094	手稿	2	3
w01047094	发给	2	5
w01047094	建议	2	4
w01047094	环节	2	4
w01047094	本	1	2
w01047094	书	1	1
w01047094	推广	2	3
w01047094	奠定	2	5
w01047104	引起	2	4
w01047104	化学	2	5
w01047104	相关	2	4
w01047104	说客	2	7
w01047104	普罗	2	5
w01047104	注意	2	4
w01048027	恭愍王	3	7
w01048027	自由	2	3
w01048027	高丽	2	7
w01048027	改革	2	5
w01048027	元朝	2	4
w01048027	瓦解	2	4
w01048090	二十	2	3
w01048090	六十	2	3
w01048090	以来	2	3
w01048090	南韩	2	6
w01048090	巨大	2	3
w01048090	结构	2	6
w01048090	彻底	2	5
w01049051	低水平	3	4
w01049051	乡村	2	3
w01049051	野餐区	3	8
w01049051	长凳	2	4
w01049051	小径	2	4
w01049066	澳大利亚	4	9
w01049066	皇家	2	4
w01049066	公园	2	5
w01049066	官方	2	4
w01049066	第二	2	5
w01049082	开阔	2	4
w01049082	空间	2	4
w01049082	居民	2	4
w01049082	福利	2	6
w01050067	清朝	2	4
w01050067	灭亡	2	3
w01050067	博格达汗	4	10
w01050067	蒙古	2	5
w01050068	新	1	3
w01050068	中华	2	4
w01050068	民国	2	4
w01050068	领土	2	3
w01050069	总统	2	6
w01050069	袁	1	3
w01050069	世凯	2	4
w01050069	新共和国	4	10
w01050069	继承者	3	5
w01050070	满族	2	6
w01050070	顺从	2	4
w01050070	协议	2	4
w01050070	失效	2	4
w01050071	大约	2	3
w01050071	时期	2	5
w01050071	前外蒙古	4	10
w01050071	大小	2	2
w01051032	匆忙	2	3
w01051032	抓捕	2	4
w01051032	加低斯	3	7
w01051032	拉美西斯	4	8
w01051032	二世	2	3
w01051032	犯	1	2
w01051032	重大	2	2
w01051032	战术	2	4
w01051032	错误	2	6
w01051080	詹姆斯	3	9
w01051080	亨利	2	5
w01051080	布雷斯特德	5	15
w01051080	撰写	2	8
w01051080	份	1	3
w01051080	战役	2	5
w01051080	学术	2	4
w01051080	充分	2	4
w01051080	赞扬	2	7
w01051080	得	1	4
w01051080	重现	2	3
w01052022	后勤	2	5
w01052022	维持	2	5
w01052022	长时间	3	5
w01052022	攻城战	3	7
w01052022	返回	2	6
w01052022	埃及	2	4
w01052038	法老	2	4
w01052038	自己	2	3
w01052038	身处	2	3
w01052038	阿穆鲁	3	9
w01052038	远离	2	7
w01052038	图尼普	3	9
w01052038	图特摩斯	4	12
w01052038	三世	2	4
w01052038	士兵	2	3
w01052038	出现	2	4
w01052046	他	1	2
w01052046	声称	2	5
w01052046	参与	2	5
w01052046	战斗	2	4
w01052046	小时	2	3
w01052046	不慌不忙	4	8
w01052046	穿上	2	4
w01052046	盔甲	2	4
w01053015	希律	2	5
w01053015	安提帕斯	4	9
w01053015	希罗底	3	7
w01053015	准确	2	4
w01053015	结婚	2	6
w01053015	年份	2	5
